"West_Bank","code","schools_boys","schools_girls","treatment","female","age","school_sharing_ideas","school_asking_questions","school_ask_help"
0,5,0,0,1,0,6,3,3,3
0,5,0,0,1,1,6,3,0,2
0,5,0,0,1,0,6,3,3,0
0,5,0,0,1,0,6,3,2,2
0,5,0,0,1,1,6,2,2,2
0,5,0,0,1,0,6,2,3,3
0,6,0,0,1,0,7,3,3,0
0,6,0,0,1,1,7,2,2,3
0,6,0,0,1,1,7,2,2,2
0,6,0,0,1,1,7,2,2,2
0,6,0,0,1,0,6,3,3,0
0,6,0,0,1,1,7,2,2,0
0,6,0,0,1,1,8,3,3,3
0,6,0,0,1,1,7,0,2,3
0,6,0,0,1,1,6,3,3,0
0,6,0,0,1,0,7,2,3,2
0,6,0,0,1,0,7,2,3,3
0,6,0,0,1,0,7,0,3,3
0,6,0,0,1,0,7,2,2,2
0,6,0,0,1,1,7,3,2,1
0,6,0,0,1,0,7,2,2,3
0,6,0,0,1,0,7,3,3,3
0,6,0,0,1,0,6,3,3,3
0,6,0,0,1,0,6,3,3,3
0,6,0,0,1,1,7,3,3,0
0,6,0,0,1,0,7,2,3,0
0,6,0,0,1,0,6,2,0,2
0,6,0,0,1,0,7,3,2,2
0,6,0,0,1,1,6,2,3,3
0,6,0,0,1,0,7,3,3,3
0,8,1,0,0,1,10,2,0,2
0,8,1,0,0,1,9,3,3,3
0,8,1,0,0,1,9,3,2,3
0,8,1,0,0,1,9,2,0,2
0,8,1,0,0,1,10,2,3,3
0,8,1,0,0,1,9,2,2,2
0,8,1,0,0,1,9,2,3,3
0,8,1,0,0,1,10,3,3,3
0,8,1,0,0,1,9,3,2,0
0,8,1,0,0,1,10,3,0,3
0,8,1,0,0,1,10,2,0,2
0,8,1,0,0,1,10,2,3,2
0,10,0,1,1,0,6,2,2,3
0,13,0,1,1,0,8,2,3,3
0,13,0,1,1,0,8,2,3,2
0,13,0,1,1,0,8,2,0,0
0,13,0,1,1,0,8,2,2,2
0,13,0,1,1,0,9,3,3,3
0,13,0,1,1,0,8,2,2,3
0,18,0,1,0,0,6,3,3,0
0,18,0,1,0,0,6,3,3,3
0,18,0,1,0,0,6,3,3,3
0,18,0,1,0,0,6,3,3,3
0,18,0,1,0,0,6,0,0,0
0,18,0,1,0,0,6,2,0,0
0,19,0,0,0,0,7,2,2,3
0,19,0,0,0,1,7,3,3,2
0,19,0,0,0,0,7,3,3,3
0,19,0,0,0,1,7,3,3,3
0,19,0,0,0,0,7,3,3,3
0,19,0,0,0,0,7,3,3,3
0,19,0,0,0,1,8,3,3,3
0,19,0,0,0,1,8,3,3,3
0,19,0,0,0,0,6,3,3,3
0,19,0,0,0,1,7,3,3,3
0,19,0,0,0,1,6,3,3,2
0,19,0,0,0,1,7,3,2,2
0,19,0,0,0,0,6,2,1,3
0,19,0,0,0,1,7,3,3,3
0,19,0,0,0,1,9,3,2,3
0,19,0,0,0,0,7,3,3,3
0,19,0,0,0,0,7,3,3,3
0,19,0,0,0,1,8,3,0,3
0,19,0,0,0,1,8,3,3,3
0,19,0,0,0,0,6,3,2,2
0,19,0,0,0,1,8,3,0,3
0,19,0,0,0,0,7,3,3,3
0,19,0,0,0,1,7,3,3,3
0,19,0,0,0,1,7,3,3,3
0,19,0,0,0,0,7,1,0,0
0,19,0,0,0,1,7,3,3,3
0,19,0,0,0,1,6,3,3,3
0,19,0,0,0,1,8,3,2,3
0,19,0,0,0,1,7,2,2,3
0,19,0,0,0,0,7,2,3,3
0,19,0,0,0,0,7,3,2,3
0,19,0,0,0,1,8,3,3,3
0,19,0,0,0,1,7,3,3,3
0,19,0,0,0,1,7,3,2,3
0,19,0,0,0,1,6,3,2,3
0,19,0,0,0,0,7,3,1,3
0,21,0,0,1,1,7,3,0,2
0,21,0,0,1,0,7,2,3,3
0,21,0,0,1,1,7,2,0,0
0,21,0,0,1,0,7,2,3,2
0,21,0,0,1,1,7,3,3,3
0,21,0,0,1,0,7,2,3,2
0,26,0,0,0,1,6,0,3,3
0,26,0,0,0,1,6,0,0,2
0,26,0,0,0,0,6,0,2,3
0,26,0,0,0,1,8,3,3,3
0,26,0,0,0,1,6,3,2,3
0,26,0,0,0,0,6,3,3,3
0,26,0,0,0,0,8,3,3,1
0,26,0,0,0,0,6,3,3,0
0,26,0,0,0,1,8,2,2,2
0,26,0,0,0,0,8,3,3,3
0,26,0,0,0,0,9,3,2,3
0,26,0,0,0,1,8,2,3,3
0,46,0,1,1,0,8,3,2,2
0,46,0,1,1,0,8,2,3,2
0,46,0,1,1,0,8,3,3,3
0,46,0,1,1,0,8,3,3,3
0,46,0,1,1,0,8,2,2,3
0,46,0,1,1,0,8,3,2,3
0,79,1,0,0,1,6,2,1,3
0,79,1,0,0,1,7,2,3,2
